n_estimators,max_depth,learning_rate,pehe,ate_pp
50,3,0.05,0.23443592872150676,6.660716235637665
50,3,0.1,0.23838986221478034,6.707555800676346
50,3,0.2,0.23646120788684932,7.394913583993912
50,5,0.05,0.2301097724645374,7.624796777963638
50,5,0.1,0.23235383386253333,8.203745633363724
50,5,0.2,0.23018058933749033,9.22999456524849
50,7,0.05,0.22332888059166542,8.742277324199677
50,7,0.1,0.2268445786009025,9.21243354678154
50,7,0.2,0.22790079931475335,10.850691795349121
100,3,0.05,0.23695996562312632,6.9207943975925446
100,3,0.1,0.23615148153438592,7.0778630673885345
100,3,0.2,0.2348303269850436,8.425267785787582
100,5,0.05,0.23159059322431796,8.201529830694199
100,5,0.1,0.2291230298005518,8.96514505147934
100,5,0.2,0.22861103525871482,10.194630175828934
100,7,0.05,0.2251504163278027,9.366346895694733
100,7,0.1,0.2259150138027723,10.18187627196312
100,7,0.2,0.22253587774357883,11.796673387289047
200,3,0.05,0.23525667922368249,7.32094943523407
200,3,0.1,0.23520869287988927,8.228390663862228
200,3,0.2,0.23372081611287665,9.686674922704697
200,5,0.05,0.22939832504813942,8.996044099330902
200,5,0.1,0.22808153118275562,10.169735550880432
200,5,0.2,0.2262788106863444,11.6802416741848
200,7,0.05,0.22424884340444526,10.236965864896774
200,7,0.1,0.2217104112504829,11.512206494808197
200,7,0.2,0.22166128186998907,11.329595744609833
